ETFSym,HoldingSym,HoldingPercentage
HDG,DX,0.0001
HDG,PLYM,0.0001
HDG,SIBN,0.0001
HDG,UHT,0.0001
HDG,GOLF,0.0001
HDG,ATEN,0.0001
HDG,OPK,0.0001
HDG,ADTN,0.0001
HDG,AZZ,0.0001
HDG,RILY,0.0001
HDG,ILPT,0.0001
HDG,SHYF,0.0001
HDG,AVXL,0.0001
HDG,OCFC,0.0001
HDG,PING,0.0001
HDG,CPLG,0.0001
HDG,GOSS,0.0001
HDG,SVC,0.0001
HDG,STRL,0.0001
HDG,SFIX,0.0001
HDG,STEP,0.0001
HDG,NSTG,0.0001
HDG,GNL,0.0001
HDG,NSSC,0.0001
HDG,NHC,0.0001
HDG,NCBS,0.0001
HDG,VVI,0.0001
HDG,IDT,0.0001
HDG,SATS,0.0001
HDG,PLAB,0.0001
HDG,GEVO,0.0001
HDG,EBIX,0.0001
HDG,GOEV,0.0001
HDG,LZB,0.0001
HDG,OUST,0.0001
HDG,BALY,0.0001
HDG,VRS,0.0001
HDG,ADUS,0.0001
HDG,KYMR,0.0001
HDG,MITK,0.0001
HDG,SAH,0.0001
HDG,SSP,0.0001
HDG,CAC,0.0001
HDG,ASPN,0.0001
HDG,BRBR,0.0001
HDG,CYH,0.0001
HDG,TWI,0.0001
HDG,UBA,0.0001
HDG,ROCK,0.0001
HDG,LGF.B,0.0001
HDG,WABC,0.0001
HDG,NOVA,0.0001
HDG,NFBK,0.0001
HDG,FDP,0.0001
HDG,EFC,0.0001
HDG,AIR,0.0001
HDG,RRD,0.0001
HDG,HRTX,0.0001
HDG,AVID,0.0001
HDG,ANDE,0.0001
HDG,GOOD,0.0001
HDG,SKT,0.0001
HDG,PRTA,0.0001
HDG,GPRE,0.0001
HDG,CSII,0.0001
HDG,BFLY,0.0001
HDG,FA,0.0001
HDG,TITN,0.0001
HDG,NG,0.0001
HDG,CUTR,0.0001
HDG,ATEX,0.0001
HDG,SKYW,0.0001
HDG,STNG,0.0001
HDG,KURA,0.0001
HDG,TEN,0.0001
HDG,BBIO,0.0001
HDG,SILK,0.0001
HDG,NX,0.0001
HDG,RADI,0.0001
HDG,CSTL,0.0001
HDG,TDW,0.0001
HDG,VGR,0.0001
HDG,HSKA,0.0001
HDG,GFF,0.0001
HDG,KALU,0.0001
HDG,SDGR,0.0001
HDG,FFWM,0.0001
HDG,AHCO,0.0001
HDG,MSEX,0.0001
HDG,BANF,0.0001
HDG,AMPH,0.0001
HDG,CVGW,0.0001
HDG,KOP,0.0001
HDG,MNRL,0.0001
HDG,FORR,0.0001
HDG,MORF,0.0001
HDG,CCRN,0.0001
HDG,CERS,0.0001
HDG,FGEN,0.0001
HDG,SRCE,0.0001
HDG,GABC,0.0001
HDG,ACCO,0.0001
HDG,MGNI,0.0001
HDG,BIGC,0.0001
HDG,INVA,0.0001
HDG,MVIS,0.0001
HDG,SXC,0.0001
HDG,CTS,0.0001
HDG,SPTN,0.0001
HDG,HTBK,0.0001
HDG,STFC,0.0001
HDG,AGYS,0.0001
HDG,SCHN,0.0001
HDG,PAR,0.0001
HDG,ATRI,0.0001
HDG,CHCT,0.0001
HDG,TCX,0.0001
HDG,SBGI,0.0001
HDG,HMN,0.0001
HDG,PRA,0.0001
HDG,PUMP,0.0001
HDG,IVR,0.0001
HDG,BRKL,0.0001
HDG,DVAX,0.0001
HDG,CSV,0.0001
HDG,NBTB,0.0001
HDG,VRTV,0.0001
HDG,AMWL,0.0001
HDG,QCRH,0.0001
HDG,WASH,0.0001
HDG,ENVA,0.0001
HDG,OFIX,0.0001
HDG,CIO,0.0001
HDG,TTCF,0.0001
HDG,DCOM,0.0001
HDG,INSW,0.0001
HDG,DGII,0.0001
HDG,RC,0.0001
HDG,TMCI,0.0001
HDG,ZGNX,0.0001
HDG,ITOS,0.0001
HDG,CCF,0.0001
HDG,NTGR,0.0001
HDG,AMSF,0.0001
HDG,NOG,0.0001
HDG,TVTX,0.0001
HDG,COUR,0.0001
HDG,DHC,0.0001
HDG,ATRS,0.0001
